ID,Start time,Completion time,Email,Name,Last modified time,How would you primarily describe your professional role?,How many years of experience do you have in game development?,Which game engine(s) do you primarily work with? (Select all that apply),Houdini,Unreal Engine PCG tools,Blender Geometry Nodes,Plugins/Tools that use Wave Function Collapse,Plugins/Tools that use other methods,Custom code-based PCG solutions,"If you use procedural generation, what aspects do you currently use it for? (Select all that apply)",How frequently do you incorporate procedural level generation (not just world building) in your design workflow?,What are your primary concerns when considering procedural level generation? (Select up to 3),"Which statement best describes your view on procedural level generation tools?
",What do you consider the most critical factor when evaluating a new design tool? (Select up to 3),"If using a node-based tool for creating a procedural level generator, which features would be most important to you? (Rank top 3)",How important is real-time feedback when configuring a procedural level generator?,Which approach to creating procedural generators would you prefer?,What level of integration would you prefer for a PCG level generation tool?,Action/Adventure,First-person Shooters,Platformers,Racing games,Puzzle games,RPGs,Strategy games,Roguelikes / Roguelites,"How are levels typically represented and stored in your projects, especially when procedurally generated? (Select all that apply)",Which of these approaches to level generation would be most useful to your workflow? (Select one),What role would you prefer AI to play in your procedural level generation workflow? (Select up to 2),"When considering AI-assisted procedural level design, which is most important to you? (Select up to 2)",What concerns you most about using AI in procedural level generation? (Select up to 2),Which problems do you wish a procedural level generation tool could solve for you?,What is the single most important problem you would want a procedural level generation tool to solve in your workflow?
2,4/25/25 12:26:24,4/25/25 12:31:57,anonymous,,,Programmer/Technical Designer,6-10 years,Unreal Engine;,No Experience,Extensive Experience,Limited Experience,Limited Experience,Limited Experience,Limited Experience,"World building (terrain, vegetation, etc.);Puzzle generation;Enemy/NPC placement;Level layout/structure generation;",Always (essential part of workflow),Lack of precise artistic control;Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;,"""I'm satisfied with the current PCG tools available""",Flexibility (ability to adapt to various use cases);Familiarity (resemblance to tools you already know);Simplicity (low barrier to entry);,"Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Control over generation constraints and rules;Visual previews of generation steps;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Essential,Building generators from programming primitives (maximum flexibility),Deep integration within existing engine (like Unreal Blueprint),Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Scene graph/hierarchical structure;,Not sure/would need to experiment,Suggestion-based (AI proposes level designs for you to select and modify);Assistant-based (AI helps implement your design intentions);,Consistency with existing game assets and style;Maintaining creative control over the final output;,Intellectual property/ownership concerns;Unpredictable or inconsistent results;,Improved iteration speed on level designs;Time savings compared to manual design;Ability to create more content variations with consistent quality;,
3,4/25/25 12:26:39,4/25/25 12:33:48,anonymous,,,Technical Artist,6-10 years,Unreal Engine;Unity;,Extensive Experience,Limited Experience,No Experience,No Experience,No Experience,No Experience,"World building (terrain, vegetation, etc.);",Sometimes (about half of projects),Lack of precise artistic control;Technical complexity/steep learning curve;,"""Existing PCG tools are too limited in what they can generate""",,"Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Support for mission/gameplay integration;Runtime vs. offline generation options;Limited or no programming required;",,,,,,,,,,,,,,,,,,
4,4/25/25 12:26:24,4/25/25 12:35:39,anonymous,,,Environment Artist,0-2 years,Unreal Engine;Unity;,Extensive Experience,Limited Experience,No Experience,Limited Experience,Extensive Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Texture generation, foliage generation with L-Systems.;",Rarely (a few projects),Lack of precise artistic control;Unclear design methodology for procedural systems;Unpredictable results affecting game balance;,"""I'm satisfied with the current PCG tools available""",Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Familiarity (resemblance to tools you already know);,"Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Runtime vs. offline generation options;Easy debugging of unexpected results;Limited or no programming required;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Somewhat Interested,Very Interested,Not Interested,Interested,Not Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;Navigation mesh;,Balanced approach (iterative refinement between mission and space),Suggestion-based (AI proposes level designs for you to select and modify);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Learning from my design preferences over time;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Improved iteration speed on level designs;Reduced technical barriers to procedural generation;Time savings compared to manual design;,It always look very repeated. 
5,4/25/25 12:26:25,4/25/25 12:36:59,anonymous,,,Technical Artist,3-5 years,Unreal Engine;Unity;Custom in-house engine;,Limited Experience,Limited Experience,Limited Experience,Moderate Experience,Moderate Experience,Limited Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;",Often (most projects),Integration with existing workflows;Time investment to set up compared to potential benefits;,"""I prefer handcrafting levels and don't see benefits in PCG tools""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Documentation and learning resources;","Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Easy debugging of unexpected results;Limited or no programming required;Runtime vs. offline generation options;Support for mission/gameplay integration;",Very important,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,Standalone application that exports to game engines,Interested,Somewhat Interested,Very Interested,Very Interested,Somewhat Interested,Interested,Not Interested,Somewhat Interested,Free-form geometry;Rectangular grid/tile-based;Voxel-based;,Space-driven generation (spatial layout determines gameplay possibilities),Suggestion-based (AI proposes level designs for you to select and modify);,Speed of generation compared to traditional methods;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Time savings compared to manual design;Improved iteration speed on level designs;Learning resources and examples for different game genres;,Time saving
6,4/25/25 12:36:16,4/25/25 12:44:21,anonymous,,,Technical Artist,3-5 years,Unreal Engine;Unity;,No Experience,Moderate Experience,No Experience,No Experience,Moderate Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Often (most projects),Technical complexity/steep learning curve;Time investment to set up compared to potential benefits;,"""Most PCG tools are built for programmers, not designers""",Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);Documentation and learning resources;,"Control over generation constraints and rules;Easy debugging of unexpected results;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Free-form geometry;Voxel-based;Navigation mesh;Hexagonal grid/tile-based;,Space-driven generation (spatial layout determines gameplay possibilities),I have no opinion/not sure;,Understanding how the AI makes its decisions;Maintaining creative control over the final output;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Time savings compared to manual design;Improved iteration speed on level designs;Ability to create more content variations with consistent quality;,Large scale level production speed
7,4/25/25 12:38:12,4/25/25 12:46:34,anonymous,,,Environment Artist,6-10 years,Custom in-house engine;,Moderate Experience,Limited Experience,Limited Experience,No Experience,Limited Experience,No Experience,"World building (terrain, vegetation, etc.);",Sometimes (about half of projects),Integration with existing workflows;Lack of precise artistic control;Difficulty in debugging unexpected outputs;,"""PCG tools don't give me enough control over the final output""","Reliability (predictable, stable results);Documentation and learning resources;Integration with existing workflows;","Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Essential,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Interested,Interested,Interested,Very Interested,Somewhat Interested,Somewhat Interested,Not Interested,Very Interested,Free-form geometry;,Context-dependent (different approaches for different game sections),Tool-based (AI enhances specific components of your manual design process);I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;Consistency with existing game assets and style;,Loss of designer agency/control;Intellectual property/ownership concerns;,Ability to create more content variations with consistent quality;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,
8,4/25/25 12:26:28,4/25/25 12:56:40,anonymous,,,Technical Artist,3-5 years,Unreal Engine;,Extensive Experience,Extensive Experience,Moderate Experience,No Experience,Moderate Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Always (essential part of workflow),Difficulty in debugging unexpected outputs;Lack of precise artistic control;Unclear design methodology for procedural systems;,"""Existing PCG tools are too limited in what they can generate""",Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Feature completeness (comprehensive capabilities);,"Visual previews of generation steps;Easy debugging of unexpected results;Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;",Very important,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Interested,Interested,Not Interested,Interested,Interested,Somewhat Interested,Very Interested,Very Interested,Hexagonal grid/tile-based;Scene graph/hierarchical structure;Free-form geometry;,Space-driven generation (spatial layout determines gameplay possibilities),Tool-based (AI enhances specific components of your manual design process);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Speed of generation compared to traditional methods;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,Solve the medial tasks and maximize time spent on creative work
10,4/25/25 12:58:27,4/25/25 13:12:51,anonymous,,,Programmer/Technical Designer,3-5 years,Unity;,Limited Experience,No Experience,No Experience,Moderate Experience,Moderate Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Enemy/NPC placement;Level layout/structure generation;",Often (most projects),Difficulty in debugging unexpected outputs;Time investment to set up compared to potential benefits;Technical complexity/steep learning curve;,"""PCG tools don't give me enough control over the final output""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Community support;","Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Easy debugging of unexpected results;Visual previews of generation steps;Runtime vs. offline generation options;Limited or no programming required;Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Not Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Very Interested,Interested,Interested,Somewhat Interested,Rectangular grid/tile-based;Node-based graphs (mission/flow graphs);Free-form geometry;,Space-driven generation (spatial layout determines gameplay possibilities),Suggestion-based (AI proposes level designs for you to select and modify);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,"Unpredictable or inconsistent results;Potential ""black box"" nature (lack of transparency);",Time savings compared to manual design;Ability to create more content variations with consistent quality;Community/marketplace of shareable generator components;,Reduce time and resources spent in Content Creation as a small Indie Dev
11,4/25/25 12:26:32,4/25/25 13:14:37,anonymous,,,Technical Artist,6-10 years,Unity;Custom in-house engine;,Extensive Experience,No Experience,Moderate Experience,No Experience,No Experience,Moderate Experience,I don't currently use procedural generation;,Rarely (a few projects),Unpredictable results affecting game balance;Lack of precise artistic control;,"""I'm satisfied with the current PCG tools available""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Documentation and learning resources;","Control over generation constraints and rules;Easy debugging of unexpected results;Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Interested,Interested,Somewhat Interested,Very Interested,Somewhat Interested,Interested,Not Interested,Very Interested,Scene graph/hierarchical structure;Rectangular grid/tile-based;Navigation mesh;,Context-dependent (different approaches for different game sections),Tool-based (AI enhances specific components of your manual design process);Assistant-based (AI helps implement your design intentions);,Understanding how the AI makes its decisions;Maintaining creative control over the final output;,Unpredictable or inconsistent results;Loss of designer agency/control;,Improved iteration speed on level designs;Better integration with existing workflows;Time savings compared to manual design;,Iteration times
13,4/25/25 13:23:54,4/25/25 13:40:06,anonymous,,,Programmer/Technical Designer,3-5 years,Unity;Godot;,Limited Experience,No Experience,No Experience,Moderate Experience,Extensive Experience,Limited Experience,"World building (terrain, vegetation, etc.);Mission/quest generation;",Often (most projects),Time investment to set up compared to potential benefits;Unclear design methodology for procedural systems;,"""Most PCG tools are built for programmers, not designers""","Integration with existing workflows;Reliability (predictable, stable results);Simplicity (low barrier to entry);","Runtime vs. offline generation options;Control over generation constraints and rules;Support for mission/gameplay integration;Easy debugging of unexpected results;Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Limited or no programming required;",Essential,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Somewhat Interested,Interested,Somewhat Interested,Not Interested,Somewhat Interested,Interested,Interested,Very Interested,Node-based graphs (mission/flow graphs);Scene graph/hierarchical structure;Rectangular grid/tile-based;Constraint-based representations (is this a known term);,Space-driven generation (spatial layout determines gameplay possibilities),I prefer traditional rule-based PCG without AI involvement;,Understanding how the AI makes its decisions;,"Potential ""black box"" nature (lack of transparency);Intellectual property/ownership concerns;",Time savings compared to manual design;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,Platform and Environment Agnosticism 
